State_Name,District_Name,PH,Clay,Sand,Silt,Nitrogen,SOC,CEC
Andaman and Nicobar,Nicobar Islands,3.95,22.18,29.48,23.5,3.13,46.24,12.61
Andaman and Nicobar,North and Middle Andaman,4.66,26.81,30.48,24.61,3.22,40.87,19.07
Andaman and Nicobar,South Andaman,4.21,23.06,32.99,23.81,3.44,39.2,17.04
Andhra Pradesh,Anantapur,6.83,30.11,43.26,23.83,1.34,23.75,25.83
Andhra Pradesh,Chittoor,6.81,31.88,40.3,26.77,1.9,27.89,26.33
Andhra Pradesh,East Godavari,5.78,26.5,35.7,29.18,1.96,27.69,23.02
Andhra Pradesh,Guntur,6.38,28.29,37.78,29.11,1.67,25.7,22.05
Andhra Pradesh,Krishna,5.5,24.2,32.22,26.98,1.53,20.11,18.55
Andhra Pradesh,Kurnool,6.82,30.98,40.39,25.37,1.34,25.36,24.43
Andhra Pradesh,Nellore,6.6,30.39,35.25,28.03,2.04,36.18,25.38
Andhra Pradesh,Prakasam,6.79,30.73,40.5,27.14,1.77,33.09,26.42
Andhra Pradesh,Srikakulam,6.17,28.35,37.01,32.08,1.82,24.07,18.89
Andhra Pradesh,Visakhapatnam,5.98,28.34,38.95,30.24,2.28,29.04,19.88
Andhra Pradesh,Vizianagaram,6.18,28.52,38.74,31.6,1.87,24.36,18.94
Andhra Pradesh,West Godavari,5.8,25.33,35.5,28.39,1.58,21.65,21.49
Andhra Pradesh,Y.S.R.,6.74,32.28,39.27,26.03,1.67,28.08,25.64
Arunachal Pradesh,Anjaw,5.49,26.38,38.48,35.1,7.84,80.37,21.47
Arunachal Pradesh,Anjaw,5.76,21.6,42.17,35.79,6.44,89.3,22.65
Arunachal Pradesh,Changlang,5.22,30.15,39.14,30.63,6.69,60.72,20.15
Arunachal Pradesh,Dibang Valley,5.63,19.1,42.87,33.96,5.51,83.92,22.03
Arunachal Pradesh,East Kameng,5.2,30.49,30.86,38.64,7.2,51.63,20.15
Arunachal Pradesh,East Siang,4.86,27.06,38.69,25.74,3.19,35.22,16.39
Arunachal Pradesh,East Siang,5.09,28.99,40.84,29.28,5.39,51.16,19.1
Arunachal Pradesh,Kurung Kumey,5.44,24.97,35.62,36.0,5.79,66.86,21.54
Arunachal Pradesh,Lohit,5.18,29.64,39.18,29.31,6.13,53.76,19.14
