State_Name,Crop_Year,Total_Area,Total_Production,Crop_Count
Andaman and Nicobar Islands,2000,89036.0,8995152314.0,12
Andaman and Nicobar Islands,2001,82326.0,9061588700.0,9
Andaman and Nicobar Islands,2002,90462.8,9533100904.67,11
Andaman and Nicobar Islands,2003,89598.8,9624941921.47,11
Andaman and Nicobar Islands,2004,90617.538,8805836260.43,11
Andaman and Nicobar Islands,2005,74076.78,7929295784.05,14
Andaman and Nicobar Islands,2006,74653.04,8989984659.1,14
Andaman and Nicobar Islands,2007,38548.96,8069022066.0,18
Andaman and Nicobar Islands,2008,65808.0,8194454800.0,18
Andaman and Nicobar Islands,2009,67056.0,8501494200.0,18
Andaman and Nicobar Islands,2010,83395.84,9600646694.87,19
Andaman and Nicobar Islands,2011,41388.3,10505246960.0,21
Andaman and Nicobar Islands,2012,40845.0,12515407000.0,21
Andaman and Nicobar Islands,2013,40432.3,12906113044.0,21
Andaman and Nicobar Islands,2014,39944.1,12985588580.0,21
Andaman and Nicobar Islands,2015,39029.9,13165569500.0,21
Andaman and Nicobar Islands,2016,36856.61,13304645709.0,20
Andaman and Nicobar Islands,2017,28241.84,12482746085.0,19
Andaman and Nicobar Islands,2018,30610.51,9622486898.0,19
Andaman and Nicobar Islands,2019,33324.51,11259887347.0,17
Andhra Pradesh,1997,17152600.0,2876339500.0,24
Andhra Pradesh,1998,19102300.0,3687522100.0,25
Andhra Pradesh,1999,17649071.0,3639653066.0,24
Andhra Pradesh,2000,20033123.0,114497558897.0,41
Andhra Pradesh,2001,18880015.0,117601714160.0,41
Andhra Pradesh,2002,17460054.0,120175751982.0,56
Andhra Pradesh,2003,18595573.0,124247272411.0,55
Andhra Pradesh,2004,19272542.0,124881165097.0,40
Andhra Pradesh,2005,19488184.0,94343139424.0,41
Andhra Pradesh,2006,18537324.0,138534305199.0,41
Andhra Pradesh,2007,18862000.0,4906908000.0,25
Andhra Pradesh,2008,19934631.0,102517307465.0,41
Andhra Pradesh,2009,17847561.0,119752844699.0,42
Andhra Pradesh,2010,20643135.0,126632348973.0,42
Andhra Pradesh,2011,19511092.0,149132966868.0,44
Andhra Pradesh,2012,19177532.0,173121083320.0,47
Andhra Pradesh,2013,14941653.0,165840345483.0,48
Andhra Pradesh,2014,16072241.0,149981832536.0,49
Andhra Pradesh,2015,7302254.0,145660698300.0,39
Andhra Pradesh,2016,7653291.0,144321392100.0,43
Andhra Pradesh,2017,7328629.0,143419317100.0,42
Andhra Pradesh,2018,7340611.0,160482713100.0,41
Andhra Pradesh,2019,7246116.0,194691311000.0,42
Arunachal Pradesh,1997,458236.0,26981948.0,11
Arunachal Pradesh,1998,474128.0,31439280.0,16
Arunachal Pradesh,1999,450338.0,32252601.0,12
Arunachal Pradesh,2000,447910.0,32949142.0,12
Arunachal Pradesh,2001,450034.0,33683455.0,12
Arunachal Pradesh,2002,467895.0,34901426.0,12
Arunachal Pradesh,2003,454743.0,35466395.0,12
Arunachal Pradesh,2004,450360.0,32643503.0,11
Arunachal Pradesh,2005,461428.0,34332122.0,11
Arunachal Pradesh,2006,480896.0,36481200.0,11
Arunachal Pradesh,2007,475364.0,37667950.0,11
Arunachal Pradesh,2008,483484.0,39273244.0,11
Arunachal Pradesh,2009,651866.0,56797713.6,11
Arunachal Pradesh,2010,478240.0,40333845.0,11
Arunachal Pradesh,2011,488710.0,42484943.0,11
Arunachal Pradesh,2012,496416.0,43883389.0,11
Arunachal Pradesh,2013,508650.0,45477674.0,11
Arunachal Pradesh,2014,516530.0,48615542.0,11
Arunachal Pradesh,2015,262340.0,50512000.0,10
Arunachal Pradesh,2016,280101.0,53770394.0,22
Arunachal Pradesh,2017,282690.0,55502526.0,22
Arunachal Pradesh,2018,284440.0,56453160.0,22
Arunachal Pradesh,2019,285066.0,57121500.0,22
Assam,1997,6839648.0,13261421234.0,26
Assam,1998,6806448.0,15828875136.0,27
Assam,1999,7117542.0,15908125493.0,27
Assam,2000,7071628.0,14475721778.0,27
Assam,2001,7050246.0,17262419949.0,31
Assam,2002,7017123.0,16898648131.0,34
Assam,2003,6795492.0,16304769539.0,32
Assam,2004,6239927.0,786904656.0,27
Assam,2005,6486965.0,21138441277.0,31
Assam,2006,6009904.0,14320978062.0,31
Assam,2007,6287178.0,15525417101.0,34
Assam,2008,6556396.0,18947703828.0,32
Assam,2009,6738222.0,19588451455.0,32
Assam,2010,6812988.0,16914839735.0,32
Assam,2011,9405686.0,18414749370.0,35
Assam,2012,8898660.0,14564954393.0,35
Assam,2013,9379631.0,15624092499.0,35
Assam,2014,9273486.0,14921748593.0,35
Assam,2015,3398163.0,16409099100.0,31
Assam,2016,3413492.0,17126761600.0,32
Assam,2017,3380387.0,18811897100.0,32
Assam,2018,3355836.0,17007640900.0,32
Assam,2019,3322969.0,15839553900.0,32
Bihar,1997,16114231.0,2183197472.0,37
Bihar,1998,16307329.0,2139009825.0,38
Bihar,1999,9929083.0,1550250338.0,36
Bihar,2000,15478957.0,1966525863.1,39
Bihar,2001,15088882.0,2092923717.0,39
Bihar,2002,15389456.0,1905252991.0,41
Bihar,2003,15670906.0,1917568729.0,41
Bihar,2004,14153498.0,1478231455.0,41
Bihar,2005,14299784.0,1628375833.0,41
Bihar,2006,14025750.0,1320685494.0,21
Bihar,2007,14998666.0,1926734871.8899999,40
Bihar,2008,14976090.0,1988875907.67,37
Bihar,2009,13636812.0,1509484390.0,27
Bihar,2010,13408032.0,2435659844.0,30
Bihar,2011,14080482.0,2001545583.0,29
Bihar,2012,14549624.0,3261748113.0,31
Bihar,2013,14142704.0,3135691652.0,31
