State_Name,Crop_Year,Avg_Temperature,Avg_Humidity,Total_Rainfall
Andaman and Nicobar Islands,1997,27.79,77.77,2080.94
Andaman and Nicobar Islands,1998,28.16,79.19,2433.75
Andaman and Nicobar Islands,1999,27.54,80.29,2446.14
Andaman and Nicobar Islands,2000,27.57,79.98,2356.32
Andaman and Nicobar Islands,2001,27.7,80.29,2521.56
Andaman and Nicobar Islands,2002,28.1,79.27,2220.14
Andaman and Nicobar Islands,2003,28.07,78.81,2095.53
Andaman and Nicobar Islands,2004,28.03,78.25,2553.52
Andaman and Nicobar Islands,2005,28.02,80.11,3277.79
Andaman and Nicobar Islands,2006,27.99,78.71,2527.24
Andaman and Nicobar Islands,2007,27.86,78.38,2373.21
Andaman and Nicobar Islands,2008,27.94,79.09,3189.25
Andaman and Nicobar Islands,2009,28.11,78.14,2215.82
Andaman and Nicobar Islands,2010,28.4,77.58,2824.88
Andaman and Nicobar Islands,2011,27.92,79.28,3191.23
Andaman and Nicobar Islands,2012,27.98,78.77,3157.89
Andaman and Nicobar Islands,2013,28.11,78.41,3270.73
Andaman and Nicobar Islands,2014,28.18,77.3,2487.92
Andaman and Nicobar Islands,2015,28.37,77.31,2014.39
Andaman and Nicobar Islands,2016,28.57,76.6,2349.91
Andaman and Nicobar Islands,2017,28.22,78.37,2521.92
Andaman and Nicobar Islands,2018,28.26,78.06,2373.16
Andaman and Nicobar Islands,2019,28.5,76.98,2126.23
Andhra Pradesh,1997,28.25,67.81,1061.61
Andhra Pradesh,1998,28.3,69.78,875.23
Andhra Pradesh,1999,28.27,64.15,489.0
Andhra Pradesh,2000,27.81,69.26,967.97
Andhra Pradesh,2001,28.27,66.51,822.97
Andhra Pradesh,2002,28.37,66.4,735.8
Andhra Pradesh,2003,28.43,66.92,751.58
Andhra Pradesh,2004,27.83,68.05,683.46
Andhra Pradesh,2005,27.89,70.15,1058.82
Andhra Pradesh,2006,27.76,69.41,1095.07
Andhra Pradesh,2007,27.44,71.07,992.97
Andhra Pradesh,2008,27.94,68.18,957.66
Andhra Pradesh,2009,28.41,66.85,800.1
Andhra Pradesh,2010,27.93,72.37,1253.68
Andhra Pradesh,2011,28.34,65.25,561.78
Andhra Pradesh,2012,28.27,66.26,885.54
Andhra Pradesh,2013,27.7,69.65,1052.41
Andhra Pradesh,2014,28.28,65.48,711.25
Andhra Pradesh,2015,28.37,65.74,671.31
Andhra Pradesh,2016,28.31,65.38,741.35
Andhra Pradesh,2017,28.3,67.5,846.24
Andhra Pradesh,2018,28.66,63.13,585.45
Andhra Pradesh,2019,28.47,68.7,963.49
Arunachal Pradesh,1997,19.48,73.19,2190.62
Arunachal Pradesh,1998,20.44,72.32,2459.32
Arunachal Pradesh,1999,21.18,69.14,1933.03
Arunachal Pradesh,2000,20.28,71.78,2217.7
Arunachal Pradesh,2001,20.91,70.55,1759.5
Arunachal Pradesh,2002,20.51,72.63,2135.59
Arunachal Pradesh,2003,20.39,73.97,2434.79
Arunachal Pradesh,2004,20.09,74.4,2590.44
Arunachal Pradesh,2005,20.39,74.87,2241.75
Arunachal Pradesh,2006,20.81,72.74,2650.44
Arunachal Pradesh,2007,20.37,73.99,2497.19
Arunachal Pradesh,2008,20.23,74.76,2821.22
Arunachal Pradesh,2009,20.52,75.63,2455.72
Arunachal Pradesh,2010,20.24,77.75,3344.91
Arunachal Pradesh,2011,20.09,76.05,2352.58
Arunachal Pradesh,2012,20.18,78.49,3107.65
Arunachal Pradesh,2013,21.03,77.35,2543.72
Arunachal Pradesh,2014,20.95,78.18,2415.95
Arunachal Pradesh,2015,20.68,79.67,3011.87
Arunachal Pradesh,2016,21.05,79.83,2967.69
Arunachal Pradesh,2017,21.18,78.76,3401.6
Arunachal Pradesh,2018,20.74,78.68,2525.77
Arunachal Pradesh,2019,20.86,78.72,2994.42
Assam,1997,23.72,68.0,1272.69
Assam,1998,24.16,70.33,1334.34
Assam,1999,24.7,66.95,1157.02
Assam,2000,23.75,71.13,1346.39
Assam,2001,24.39,68.23,1019.85
Assam,2002,24.34,69.57,1257.64
Assam,2003,24.03,72.82,1314.5
Assam,2004,23.55,75.05,1553.87
Assam,2005,24.12,73.53,1326.84
Assam,2006,24.75,68.32,1051.3
Assam,2007,23.68,73.67,1541.44
Assam,2008,23.72,75.08,1346.2
Assam,2009,24.34,72.39,1298.52
Assam,2010,23.9,77.09,1786.49
Assam,2011,23.55,76.27,1417.74
Assam,2012,23.96,75.14,1554.07
Assam,2013,24.34,75.95,1475.53
Assam,2014,24.86,73.14,1299.32
Assam,2015,24.61,76.4,1678.8
Assam,2016,24.93,76.93,1458.79
Assam,2017,24.55,78.43,1770.47
Assam,2018,24.21,77.12,1326.12
Assam,2019,24.37,75.76,1523.33
Bihar,1997,25.59,56.19,1315.25
Bihar,1998,25.67,61.98,1020.22
Bihar,1999,25.92,55.16,951.73
Bihar,2000,25.84,53.36,960.15
Bihar,2001,25.77,56.5,1060.36
Bihar,2002,25.99,56.55,945.56
Bihar,2003,25.75,59.17,1081.22
Bihar,2004,25.87,57.64,897.44
Bihar,2005,26.62,53.54,795.7
Bihar,2006,26.12,57.77,1127.59
Bihar,2007,25.36,62.61,1265.96
Bihar,2008,25.03,65.92,1342.17
Bihar,2009,26.31,54.69,827.13
Bihar,2010,26.98,52.66,753.78
Bihar,2011,25.6,60.16,1108.26
Bihar,2012,25.32,58.01,1020.34
Bihar,2013,25.13,60.71,931.57
Bihar,2014,25.44,59.38,1077.31
Bihar,2015,26.38,56.31,947.51
Bihar,2016,26.44,58.08,1081.98
Bihar,2017,26.3,59.96,1046.81
Bihar,2018,26.41,53.06,716.79
Bihar,2019,26.27,58.79,1010.14
Chandigarh,1997,23.39,46.2,942.38
Chandigarh,1998,24.04,46.65,986.16
Chandigarh,1999,25.49,34.47,537.97
Chandigarh,2000,24.65,38.13,829.38
Chandigarh,2001,24.52,40.39,886.36
Chandigarh,2002,25.39,37.91,688.83
Chandigarh,2003,24.13,46.02,1037.84
Chandigarh,2004,24.66,43.86,920.16
Chandigarh,2005,24.2,45.01,879.45
Chandigarh,2006,24.94,44.55,761.23
Chandigarh,2007,24.61,44.46,893.56
Chandigarh,2008,23.49,51.64,1417.62
Chandigarh,2009,24.82,42.83,838.16
Chandigarh,2010,24.57,48.87,1351.9
Chandigarh,2011,23.37,53.91,1247.88
Chandigarh,2012,24.1,44.99,851.78
Chandigarh,2013,23.55,54.16,1403.69
Chandigarh,2014,24.18,46.92,852.59
Chandigarh,2015,23.9,50.67,1130.12
Chandigarh,2016,24.96,43.94,893.69
Chandigarh,2017,24.11,49.77,1232.64
Chandigarh,2018,23.57,53.02,1425.82
Chandigarh,2019,23.3,55.64,1138.97
Chhattisgarh,1997,26.11,57.92,1229.97
Chhattisgarh,1998,26.47,61.06,899.66
Chhattisgarh,1999,26.35,55.84,1026.74
Chhattisgarh,2000,26.38,51.2,867.47
Chhattisgarh,2001,26.22,57.24,1214.25
Chhattisgarh,2002,26.85,52.95,804.92
Chhattisgarh,2003,26.55,57.99,1433.14
Chhattisgarh,2004,25.78,61.38,1039.07
